"","date","categories","count","text"
"1",2020-01-22,"cumulative_total_cases",571,"cases Count: 571 
Date: 2020-01-22"
"2",2020-01-22,"cumulative_total_deaths",17,"deaths Count: 17 
Date: 2020-01-22"
"3",2020-01-23,"cumulative_total_cases",830,"cases Count: 830 
Date: 2020-01-23"
"4",2020-01-23,"cumulative_total_deaths",25,"deaths Count: 25 
Date: 2020-01-23"
"5",2020-01-24,"cumulative_total_cases",1287,"cases Count: 1,287 
Date: 2020-01-24"
"6",2020-01-24,"cumulative_total_deaths",41,"deaths Count: 41 
Date: 2020-01-24"
"7",2020-01-25,"cumulative_total_cases",1975,"cases Count: 1,975 
Date: 2020-01-25"
"8",2020-01-25,"cumulative_total_deaths",56,"deaths Count: 56 
Date: 2020-01-25"
"9",2020-01-26,"cumulative_total_cases",2744,"cases Count: 2,744 
Date: 2020-01-26"
"10",2020-01-26,"cumulative_total_deaths",80,"deaths Count: 80 
Date: 2020-01-26"
"11",2020-01-27,"cumulative_total_cases",4515,"cases Count: 4,515 
Date: 2020-01-27"
"12",2020-01-27,"cumulative_total_deaths",106,"deaths Count: 106 
Date: 2020-01-27"
"13",2020-01-28,"cumulative_total_cases",5974,"cases Count: 5,974 
Date: 2020-01-28"
"14",2020-01-28,"cumulative_total_deaths",132,"deaths Count: 132 
Date: 2020-01-28"
"15",2020-01-29,"cumulative_total_cases",7711,"cases Count: 7,711 
Date: 2020-01-29"
"16",2020-01-29,"cumulative_total_deaths",170,"deaths Count: 170 
Date: 2020-01-29"
"17",2020-01-30,"cumulative_total_cases",9692,"cases Count: 9,692 
Date: 2020-01-30"
"18",2020-01-30,"cumulative_total_deaths",213,"deaths Count: 213 
Date: 2020-01-30"
"19",2020-01-31,"cumulative_total_cases",11791,"cases Count: 11,791 
Date: 2020-01-31"
"20",2020-01-31,"cumulative_total_deaths",259,"deaths Count: 259 
Date: 2020-01-31"
"21",2020-02-01,"cumulative_total_cases",14380,"cases Count: 14,380 
Date: 2020-02-01"
"22",2020-02-01,"cumulative_total_deaths",304,"deaths Count: 304 
Date: 2020-02-01"
"23",2020-02-02,"cumulative_total_cases",17205,"cases Count: 17,205 
Date: 2020-02-02"
"24",2020-02-02,"cumulative_total_deaths",361,"deaths Count: 361 
Date: 2020-02-02"
"25",2020-02-03,"cumulative_total_cases",20440,"cases Count: 20,440 
Date: 2020-02-03"
"26",2020-02-03,"cumulative_total_deaths",425,"deaths Count: 425 
Date: 2020-02-03"
"27",2020-02-04,"cumulative_total_cases",24324,"cases Count: 24,324 
Date: 2020-02-04"
"28",2020-02-04,"cumulative_total_deaths",490,"deaths Count: 490 
Date: 2020-02-04"
"29",2020-02-05,"cumulative_total_cases",28018,"cases Count: 28,018 
Date: 2020-02-05"
